date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,close_diff_1,adAverage_diff_1,adAverage_pct_1,adclose_pct_1,adclose_diff_1,close_pct_1,close_diff_1_shift_back_1,adAverage_diff_1_shift_back_1,adclose_diff_1_shift_back_1,adclose_pct_1_shift_back_1,adAverage_pct_1_shift_back_1,close_pct_1_shift_back_1,SMA_10,SMA_20,RSI,Stoch,adClose_Lag1,adClose_Lag2,VWAP,ADL,Upper_Band,Middle_Band,Lower_Band,MACD,%K,%D,MoM
2017-01-03,5.5,6.3,4.7,5.5,5.5,5.5,5.5,5.5,4.218,4.218,4.218,4.218,4.218,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,
2017-01-04,5.5,6.3,4.7,5.5,5.5,5.5,5.5,5.5,4.218,4.218,4.218,4.218,4.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.218,,,0.0,,,,,,,
2017-01-05,5.5,6.3,4.7,5.5,5.5,5.5,5.5,5.5,4.218,4.218,4.218,4.218,4.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1534,0.15399999999999991,0.036510194404931307,3.6364,0.036363636363636376,,,,,4.218,4.218,,0.0,,,,,,,
2017-01-06,5.5,6.3,4.7,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,100.0,570000.0,0.2,0.1534,3.6364,0.036510194404931307,0.15399999999999991,0.036363636363636376,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.218,4.218,,0.0,,,,,,,
2017-01-09,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.372,4.218,,0.0,,,,,,,
2017-01-10,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.372,4.372,,0.0,,,,,,,
2017-01-11,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.372,4.372,,0.0,,,,,,,
2017-01-12,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.372,4.372,,0.0,,,,,,,
2017-01-13,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-187.99999999999986,4.372,4.372,,0.0,,,,,,,
2017-01-16,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.325799999999999,,,0.0,4.372,4.372,0.0,0.0,,,,,,,
2017-01-17,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.341199999999999,,,0.0,4.372,4.372,0.0,0.0,,,,,,,0.15399999999999991
2017-01-18,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3566,,,0.0,4.372,4.372,0.0,0.0,,,,,,,0.15399999999999991
2017-01-19,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372,,,0.0,4.372,4.372,0.0,0.0,,,,,,,0.15399999999999991
2017-01-20,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372,,,0.0,4.372,4.372,,0.0,,,,,,,0.0
2017-01-23,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372,,100.0,0.0,4.372,4.372,,0.0,,,,,,,0.0
2017-01-24,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372,,100.0,0.0,4.372,4.372,,0.0,,,,,,,0.0
2017-01-25,5.7,6.5,4.9,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6135,0.6130000000000004,0.14021043000914912,14.0351,0.14035087719298245,4.372,,100.0,0.0,4.372,4.372,,0.0,,,,,,,0.0
